RHBMM,Accuracyyy,AGE,DRESS,Home,Jail
0,0.289,senior,black,forest,no
1,0.7732,senior,green,city,no
1,0.4695,youth,red,city,no
0,0.4394,middle,red,forest,no
0,0.7812,senior,black,city,no
0,0.5787,middle,black,city,no
1,0.7227,middle,black,city,no
0,0.731,youth,red,city,no
1,0.8264,youth,green,city,no
0,0.5769,senior,red,city,no
0,0.7931,youth,black,city,no
1,0.3343,senior,green,city,no
0,0.4408,senior,green,city,no
0,0.6707,middle,red,forest,yes
1,0.7796,middle,green,forest,no
1,0.7878,middle,green,city,yes
0,0.9469,senior,black,city,no
1,0.5606,middle,red,city,no
1,0.8184,senior,green,forest,no
0,0.5061,middle,red,city,no
1,0.4929,youth,black,city,no
0,0.7057,senior,green,city,no
0,0.8256,middle,green,city,no
0,0.7637,senior,black,city,no
1,0.8689,middle,red,city,no
1,0.7322,youth,red,city,no
1,0.8005,youth,green,city,no
0,0.6674,middle,black,city,no
1,0.7249,senior,green,city,no
0,0.598,middle,green,city,no
1,0.6863,youth,red,city,yes
1,0.6383,youth,black,forest,no
1,0.5511,youth,red,city,no
0,0.5534,middle,black,city,no
1,0.5991,youth,green,city,no
1,0.6299,youth,green,forest,no
1,0.7139,senior,red,forest,no
1,0.8613,middle,black,city,no
0,0.7923,middle,red,city,no
1,0.7005,middle,black,city,no
0,0.7153,youth,black,city,no
1,0.5763,middle,black,forest,no
0,0.5739,youth,black,city,yes
1,0.8071,youth,green,city,no
1,0.7915,middle,red,city,no
0,0.7675,youth,black,forest,no
0,0.8011,middle,red,city,no
1,0.7456,middle,black,city,no
0,0.7248,middle,red,city,no
1,0.8225,middle,green,city,no
1,0.7424,youth,green,city,yes
0,0.7718,middle,red,city,no
1,0.7743,youth,red,city,no
1,0.7512,youth,black,city,no
0,0.7096,youth,black,city,no
1,0.709,youth,black,city,no
1,0.5986,middle,red,city,no
0,0.624,youth,red,city,no
0,0.8161,youth,red,city,no
1,0.5547,middle,green,forest,no
0,0.6725,middle,black,forest,no
1,0.6356,middle,red,city,no
1,0.8403,middle,black,city,yes
1,0.8691,youth,green,city,no
1,0.8458,youth,green,forest,no
0,0.5957,middle,black,city,no
0,0.5447,middle,black,city,no
0,0.6281,youth,red,city,no
1,0.6521,middle,black,forest,no
0,0.5429,middle,green,city,no
0,0.8266,senior,red,city,no
0,0.7745,senior,green,city,no
0,0.464,middle,green,city,no
0,0.6769,youth,black,forest,no
0,0.6021,youth,green,city,no
0,0.813,youth,red,city,no
1,0.7506,youth,green,city,no
0,0.5196,middle,red,city,no
0,0.7359,youth,red,city,no
1,0.7899,senior,red,forest,no
0,0.4129,middle,red,city,yes
0,0.7499,senior,green,city,no
0,0.5057,youth,red,city,no
1,0.6701,youth,red,forest,yes
0,0.7314,youth,green,city,no
0,0.828,youth,red,city,no
1,0.8997,youth,black,city,no
1,0.5604,middle,black,city,no
1,0.6512,senior,red,city,no
1,0.7164,middle,green,city,no
0,0.6727,youth,red,city,no
0,0.6084,senior,red,city,no
1,0.8109,middle,green,city,yes
1,0.7118,middle,red,city,yes
1,0.9206,senior,black,forest,no
1,0.8643,middle,black,forest,no
1,0.7157,senior,black,forest,no
0,0.812,senior,red,city,no
0,0.8594,middle,green,city,no
0,0.4718,middle,black,city,no
1,0.7667,senior,black,forest,no
0,0.658,youth,red,city,no
0,0.6306,middle,black,city,yes
1,0.8863,senior,red,city,no
1,0.5449,middle,green,forest,no
1,0.7643,middle,black,forest,no
0,0.7495,youth,red,city,no
1,0.7386,middle,black,forest,no
1,0.6875,youth,red,forest,no
1,0.5779,youth,green,city,yes
0,0.6838,middle,red,forest,no
1,0.6412,youth,green,city,yes
1,0.6597,middle,green,forest,no
1,0.7115,senior,black,forest,no
0,0.7966,youth,red,city,no
0,0.5313,middle,red,forest,yes
0,0.7964,senior,black,city,no
0,0.758,youth,green,city,no
0,0.7387,senior,black,city,no
0,0.681,middle,green,city,no
1,0.8272,senior,green,forest,no
0,0.6684,youth,black,city,no
1,0.7847,youth,black,city,no
0,0.6721,middle,black,forest,no
1,0.655,middle,red,forest,no
1,0.8431,middle,black,city,no
1,0.7585,youth,red,forest,no
0,0.7377,youth,black,city,no
1,0.5398,middle,red,city,no
1,0.8331,youth,black,city,no
1,0.7054,youth,green,city,no
1,0.807,youth,green,forest,no
1,0.7207,senior,red,city,no
1,0.7925,youth,green,city,no
0,0.8881,middle,red,city,no
0,0.6477,youth,red,forest,no
0,0.7133,senior,black,city,no
1,0.8398,senior,green,city,no
1,0.704,senior,green,forest,no
1,0.9246,youth,red,city,no
1,0.6149,youth,green,forest,no
0,0.7833,middle,black,city,no
1,0.7907,middle,green,city,no
0,0.684,youth,red,city,no
1,0.7087,youth,green,city,no
1,0.7395,middle,black,city,no
0,0.7944,middle,red,city,yes
1,0.5014,middle,black,city,yes
1,0.8032,senior,red,city,no
0,0.5121,youth,red,forest,no
0,0.7313,senior,red,city,no
0,0.7272,middle,black,city,no
1,0.7711,youth,black,city,no
1,0.8348,youth,black,forest,no
1,0.8722,youth,black,city,no
1,0.4901,middle,green,forest,no
1,0.6788,middle,green,city,no
1,0.8553,middle,red,forest,no
0,0.6309,senior,red,city,no
1,0.7846,middle,red,city,no
1,0.4442,middle,green,forest,no
0,0.5879,youth,red,city,no
1,0.7579,senior,black,city,no
0,0.7117,middle,red,forest,no
0,0.6017,middle,green,city,no
1,0.8253,youth,green,city,no
1,0.7911,middle,red,city,no
1,0.6371,youth,black,forest,no
0,0.7694,middle,red,city,no
1,0.7697,senior,green,forest,no
1,0.5965,youth,red,forest,yes
1,0.8727,middle,red,forest,yes
1,0.5641,youth,black,forest,no
0,0.5411,youth,black,city,no
0,0.4696,youth,black,city,yes
1,0.8675,middle,red,city,no
0,0.6967,youth,black,city,yes
1,0.7982,middle,black,city,no
1,0.5196,senior,green,city,no
1,0.679,middle,green,city,no
0,0.5248,youth,black,forest,no
1,0.8358,senior,red,city,no
1,0.6242,middle,green,city,no
1,0.7975,youth,red,city,no
1,0.7353,middle,black,city,yes
0,0.4764,youth,red,city,no
0,0.5316,middle,red,forest,no
0,0.6328,youth,green,city,no
0,0.8519,middle,black,city,no
1,0.8316,youth,red,forest,yes
0,0.4947,senior,red,city,no
1,0.5817,senior,green,city,no
1,0.9095,middle,red,city,no
1,0.5598,senior,green,forest,no
1,0.8368,middle,green,forest,no
0,0.7154,youth,black,city,yes
1,0.612,youth,red,city,no
1,0.6682,youth,red,forest,no
0,0.6907,youth,red,city,yes
0,0.6068,senior,black,city,no
1,0.7133,middle,red,forest,no
0,0.7736,youth,black,city,yes
1,0.7409,senior,red,city,yes
1,0.7932,youth,black,forest,no
1,0.7993,middle,green,city,no
1,0.7511,middle,green,forest,no
0,0.6416,middle,black,city,no
0,0.6074,senior,green,city,no
0,0.5228,youth,red,forest,yes
0,0.5831,middle,green,city,no
1,0.6525,middle,red,forest,no
0,0.6935,senior,black,forest,yes
1,0.812,middle,black,forest,no
1,0.9191,youth,black,city,no
1,0.6753,senior,black,forest,no
1,0.487,youth,black,city,no
1,0.8272,youth,red,city,yes
0,0.7121,youth,red,city,no
1,0.7826,youth,green,city,no
0,0.6088,youth,red,city,no
1,0.4709,youth,black,city,no
0,0.6994,youth,red,city,no
1,0.9052,middle,black,city,no
0,0.6346,youth,green,city,no
1,0.5475,middle,black,city,no
1,0.785,middle,black,city,no
1,0.5937,middle,red,city,no
0,0.5393,youth,red,city,no
0,0.6303,middle,black,city,yes
0,0.4246,middle,black,city,no
1,0.9421,middle,green,city,no
1,0.393,senior,green,city,no
1,0.8311,youth,black,city,no
1,0.7227,youth,red,city,yes
1,0.7582,youth,black,city,no
0,0.6636,middle,red,city,no
1,0.5544,senior,black,forest,no
0,0.8012,middle,red,city,yes
0,0.6987,youth,red,city,no
1,0.6257,senior,red,city,no
1,0.8328,senior,red,forest,no
0,0.936,senior,black,city,no
0,0.6633,senior,red,city,no
1,0.512,middle,black,city,yes
0,0.6822,middle,green,city,no
0,0.6959,middle,red,city,no
1,0.3651,middle,red,city,no
1,0.8386,middle,black,city,no
1,0.8652,middle,black,forest,no
1,0.5911,youth,green,city,no
0,0.7675,senior,red,city,no
1,0.5477,youth,green,city,no
0,0.7119,middle,red,city,no
0,0.6003,youth,green,city,no
1,0.6641,senior,green,city,no
1,0.7235,youth,black,city,no
1,0.839,youth,green,city,no
1,0.8507,youth,red,forest,no
0,0.4386,middle,black,city,no
0,0.5891,senior,red,city,no
0,0.6549,youth,black,city,no
0,0.7559,middle,red,city,yes
1,0.5478,youth,green,forest,yes
0,0.7475,youth,red,forest,yes
1,0.7723,middle,green,city,no
1,0.8252,senior,black,city,no
1,0.601,middle,green,city,no
0,0.678,youth,red,city,no
1,0.4994,senior,red,city,no
0,0.7158,youth,black,forest,no
1,0.6456,senior,green,city,no
0,0.7915,youth,red,city,no
1,0.654,youth,red,forest,no
1,0.7112,youth,black,city,no
1,0.7206,youth,black,forest,no
1,0.5016,senior,green,forest,no
0,0.7073,youth,red,city,no
0,0.698,youth,green,city,no
1,0.8836,senior,green,city,no
0,0.8194,senior,black,city,no
1,0.5401,senior,green,city,no
0,0.6272,middle,black,city,no
1,0.7002,middle,green,forest,no
0,0.7747,youth,green,city,no
1,0.6961,youth,green,city,no
1,0.8062,youth,black,forest,yes
1,0.6047,middle,green,city,no
0,0.7205,senior,green,city,no
1,0.8002,middle,green,city,no
1,0.8279,senior,red,forest,no
0,0.7693,youth,black,city,no
0,0.5902,middle,green,city,no
1,0.8779,youth,red,forest,no
1,0.7043,youth,red,forest,no
1,0.7793,middle,red,city,yes
1,0.6825,senior,red,forest,no
1,0.7987,senior,black,city,yes
1,0.8193,youth,black,city,no
0,0.792,youth,black,forest,yes
0,0.5253,youth,red,city,no
1,0.7499,senior,black,city,no
1,0.6888,middle,green,city,no
1,0.7647,middle,black,city,no
1,0.853,middle,red,forest,no
1,0.645,youth,black,city,no
1,0.6634,youth,green,city,no
1,0.6922,middle,green,forest,no
1,0.5547,senior,green,city,no
1,0.7674,youth,green,forest,no
0,0.759,youth,red,forest,no
0,0.6321,middle,black,city,no
1,0.6372,senior,black,city,no
0,0.5867,youth,black,city,no
1,0.7973,middle,black,city,yes
1,0.87,middle,red,city,no
0,0.7333,middle,red,city,yes
0,0.5681,youth,black,city,no
1,0.6699,youth,green,forest,no
1,0.663,senior,green,city,yes
0,0.7035,youth,black,city,yes
1,0.7165,middle,red,city,no
0,0.6596,youth,green,city,no
0,0.7327,middle,red,city,no
1,0.6005,middle,green,city,yes
1,0.5444,youth,black,forest,no
1,0.8293,middle,black,forest,no
0,0.6028,youth,black,city,no
0,0.5724,senior,green,city,no
0,0.4208,youth,red,city,no
1,0.5242,youth,black,forest,no
0,0.8957,youth,red,forest,no
0,0.7141,youth,black,forest,no
1,0.7989,senior,black,city,no
1,0.3526,senior,black,forest,no
0,0.84,middle,black,city,yes
1,0.6753,youth,black,city,no
0,0.7942,youth,red,city,no
0,0.5504,youth,black,city,yes
0,0.7098,senior,black,city,no
1,0.6161,youth,black,forest,no
0,0.7299,youth,black,city,no
0,0.6296,senior,black,city,no
1,0.634,middle,black,city,no
1,0.6795,youth,green,city,no
1,0.8208,youth,red,city,yes
1,0.7827,senior,black,forest,no
1,0.6202,youth,black,forest,no
0,0.8182,middle,green,city,no
0,0.6505,middle,red,city,no
1,0.6693,youth,green,city,no
0,0.6421,middle,green,city,no
1,0.6703,youth,black,city,no
0,0.5234,middle,green,city,yes
0,0.7851,youth,black,city,no
0,0.7224,middle,red,city,no
0,0.8969,youth,black,city,no
0,0.8076,middle,black,city,no
0,0.7598,senior,red,city,yes
1,0.5698,middle,black,forest,no
1,0.9335,youth,black,forest,no
1,0.6169,youth,black,city,yes
0,0.7409,youth,red,city,no
0,0.7061,middle,red,city,no
0,0.7896,youth,black,city,no
0,0.7637,middle,red,city,yes
0,0.6987,youth,red,city,no
1,0.9555,youth,black,city,no
1,0.6726,youth,green,city,no
1,0.7007,senior,black,forest,no
1,0.7086,youth,green,city,no
1,0.6888,youth,black,city,no
1,0.8124,youth,green,city,no
0,0.807,middle,black,city,no
1,0.5309,middle,green,forest,yes
1,0.732,middle,black,city,no
0,0.5659,youth,green,city,no
0,0.8002,middle,black,city,yes
0,0.6464,middle,black,city,no
0,0.7058,senior,red,city,no
1,0.5666,middle,black,city,no
0,0.5982,youth,red,city,no
1,0.7565,youth,black,forest,no
1,0.6013,youth,green,city,no
0,0.7177,senior,black,city,no
0,0.7758,youth,red,city,no
0,0.7119,youth,green,city,no
1,0.6626,senior,black,city,no
1,0.6668,middle,black,forest,no
1,0.7147,senior,black,city,no
1,0.5907,youth,black,city,no
0,0.8444,senior,red,city,no
1,0.7975,senior,red,forest,yes
0,0.7749,youth,black,city,no
0,0.6734,youth,black,forest,no
1,0.6742,youth,black,city,yes
0,0.6498,middle,green,city,no
0,0.6613,youth,red,city,no
0,0.8941,middle,red,city,no
0,0.3915,senior,green,city,no
1,0.7562,youth,black,forest,no
0,0.6866,middle,black,forest,no
1,0.6599,middle,red,forest,no
1,0.8314,middle,green,forest,no
0,0.7058,middle,red,city,no
0,0.6109,senior,red,forest,no
1,0.9047,senior,red,forest,no
1,0.6844,youth,red,forest,no
0,0.4527,middle,green,city,no
1,0.5846,middle,black,forest,no
1,0.7973,youth,red,city,no
1,0.7598,middle,black,forest,no
1,0.6331,youth,red,city,yes
1,0.7739,middle,red,city,no
0,0.5864,middle,black,city,no
0,0.7656,senior,black,city,yes
1,0.7608,youth,red,forest,no
0,0.8536,youth,green,city,no
0,0.7665,youth,green,city,yes
1,0.7877,youth,green,city,no
1,0.7607,middle,green,forest,yes
1,0.6628,middle,red,city,no
0,0.6513,youth,red,city,no
0,0.6465,senior,red,forest,no
0,0.7726,senior,black,city,no
0,0.3467,youth,red,city,yes
1,0.7504,middle,green,forest,no
0,0.7594,senior,black,forest,no
0,0.6033,senior,black,city,no
1,0.7355,middle,red,forest,no
1,0.61,senior,red,forest,no
1,0.7318,youth,green,city,no
1,0.7654,middle,green,forest,no
1,0.7477,youth,red,city,no
1,0.5833,middle,red,city,no
1,0.5885,middle,green,city,no
1,0.6262,senior,green,forest,no
0,0.5139,youth,black,city,no
0,0.5527,youth,red,forest,no
1,0.84,youth,green,forest,no
0,0.8183,youth,green,city,no
0,0.7551,middle,red,forest,no
0,0.7659,youth,black,city,no
1,0.6091,youth,red,city,no
1,0.5457,youth,red,city,no
0,0.3681,youth,red,city,no
1,0.8248,youth,green,city,no
1,0.7453,senior,red,forest,no
1,0.7013,youth,black,city,no
1,0.6851,senior,black,city,no
1,0.7234,middle,black,forest,no
1,0.7713,youth,green,city,no
0,0.6863,youth,green,city,no
0,0.6721,senior,green,city,no
1,0.9425,senior,green,forest,no
1,0.7461,middle,red,city,no
1,0.6273,middle,black,city,yes
1,0.6112,youth,green,city,yes
0,0.4691,youth,red,city,no
1,0.5325,youth,red,forest,no
1,0.5627,senior,black,city,yes
1,0.7974,youth,red,city,no
1,0.6622,middle,green,city,yes
0,0.6732,youth,black,city,no
1,0.6454,middle,black,forest,no
0,0.5314,youth,black,city,no
0,0.7641,senior,black,city,yes
1,0.7279,youth,black,forest,no
1,0.6831,middle,red,forest,no
1,0.8532,senior,red,city,no
1,0.7823,middle,red,city,yes
1,0.6681,senior,black,city,no
0,0.4434,youth,green,city,yes
1,0.8063,middle,red,city,no
1,0.6741,middle,black,forest,no
1,0.7053,youth,red,city,yes
1,0.7662,middle,green,city,no
0,0.5749,senior,red,forest,yes
1,0.5411,middle,black,city,no
0,0.7962,senior,black,city,no
1,0.8406,senior,green,city,no
1,0.6392,youth,black,forest,no
1,0.649,youth,green,city,no
0,0.7356,middle,red,city,no
0,0.8507,youth,red,city,no
1,0.5859,youth,green,forest,no
1,0.4817,senior,black,forest,yes
0,0.6887,middle,red,city,no
0,0.5697,youth,red,city,no
0,0.5399,senior,green,city,yes
1,0.5743,youth,black,forest,yes
0,0.6835,middle,red,forest,no
1,0.8071,youth,red,city,no
1,0.7401,youth,green,city,no
0,0.5927,senior,green,city,no
0,0.5505,middle,black,forest,no
0,0.4665,senior,black,city,no
0,0.6693,youth,red,city,no
1,0.7613,youth,black,forest,no
0,0.7907,middle,red,city,no
1,0.6684,middle,green,city,no
0,0.5806,youth,green,city,no
0,0.6442,middle,red,city,no
1,0.7903,middle,green,city,no
0,0.7081,youth,black,forest,no
0,0.6461,youth,black,city,no
1,0.5995,youth,black,forest,no
0,0.7313,senior,red,city,no
0,0.4426,youth,black,city,no
1,0.8354,youth,green,forest,no
1,0.5938,middle,red,city,yes
1,0.6517,youth,red,city,no
1,0.7747,middle,black,city,no
1,0.5948,middle,red,city,no
0,0.6284,youth,green,city,no
0,0.8402,youth,red,city,no
0,0.8924,youth,black,city,no
1,0.7423,youth,black,city,no
0,0.6284,senior,red,forest,no
1,0.6878,youth,red,forest,no
1,0.8866,middle,black,forest,yes
0,0.7005,senior,green,city,no
1,0.6985,middle,green,city,no
0,0.7334,middle,black,forest,no
1,0.5554,youth,black,city,yes
1,0.7196,middle,green,city,no
1,0.6448,youth,red,forest,no
0,0.6227,youth,red,city,yes
0,0.7348,senior,black,city,no
1,0.7739,youth,green,city,yes
1,0.8081,middle,black,forest,no
1,0.6643,middle,black,city,no
